灵动长春-场景侧-堡垒机单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.24,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.25,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.26,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.27,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.28,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
合计数量,,,21,合计金额,,,,,,,,,1228.5,,15.6,
,,,,,,,,,,,,,,,,
46113,开通用户数,4,,,,,,,,,,,,,,
,关闭用户数,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
灵动长春-场景侧-数据库单项服务统计,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用,
12,数据库服务,腾迅数据库TDSQL-C,7,套/日,480.2,,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,100842,30,100842,
12,数据库服务,腾迅数据库TDSQL-C,8,套/日,480.2,,2026-03-10 00:00:00,,2026-06-08 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,115248,0,0,
5,数据库服务,人大金仓数据库-企业版,6,套/日,166.3,,2026-03-10 00:00:00,,2026-06-08 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,29934,0,0,
灵动长春-场景侧-VPN服务单项服务统计,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用,
50,安全服务,VPN-10用户,1,套/日,22.77,,2025-09-16 00:00:00,2026-04-14 00:00:00,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-13 00:00:00,13,296.01,13,296.01,本期已关闭，下期不再有此项费用
,,,,,,,,,,,,,,,,
灵动长春-场景侧-操作系统单项服务统计,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.3,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.2,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.5,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.4,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.7,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.8,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.14,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.15,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.16,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.17,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.18,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.19,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.20,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.21,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.22,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.25,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.24,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.23,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.27,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.26,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.28,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.35,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.36,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.37,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.40,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.39,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.41,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.42,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,30,173.4,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.49,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,TDSQL-福利商城
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.50,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,TDSQL-敬老餐厅
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.51,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,人大金仓-01
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.52,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,人大金仓-02
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.53,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,人大金仓-03
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.70,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.71,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.72,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.73,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.74,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.75,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.76,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.77,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.78,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.79,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.80,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.81,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.82,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.87,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,正式-TDSQL-福利商城
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.88,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,正式-TDSQL-敬老餐厅
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.89,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,正式-TDSQL-跑腿
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.90,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,正式-TDSQL-生活圈
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.91,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,正式-TDSQL-社区团购
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.92,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,正式-人大金仓-01
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.93,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,正式-人大金仓-02
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.94,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,正式-人大金仓-03
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.216,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.218,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.219,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.220,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.221,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.222,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.223,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.224,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.225,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.226,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.227,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.228,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.229,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.230,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.231,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.232,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.233,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.234,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.235,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.236,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.237,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.238,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.239,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.240,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.241,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.242,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.243,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.244,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.245,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.246,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.247,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.248,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.249,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.250,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.251,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.6,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.67,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.74,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.81,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.82,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.105,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,正式-TDSQL-跑腿
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.213,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,ecs-0jblw0vm1qg4tofzbuoq
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.215,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,ecs-hlaqq8uy8s8d7a5w2blv
