唯一编号,服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,使用天数,本月核算金额,应计费天数,合计费用
DB0026,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.31,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0027,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.32,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0028,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.29,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0029,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.28,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0030,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.30,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0031,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.27,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0032,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.24,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0033,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.26,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0034,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.25,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0035,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.22,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0036,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.23,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0037,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.21,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0038,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.19,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0039,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.20,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0040,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.16,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0041,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.17,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0042,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.15,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0043,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.13,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0044,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.14,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0045,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.10,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0046,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.12,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0047,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.11,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0048,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.9,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0049,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.8,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0050,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.7,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0051,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.5,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0052,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.6,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0053,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.3,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0054,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.2,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0055,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.123,2025/09/18,,2025/12/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0056,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.125,2025/09/18,,2025/12/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0057,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.124,2025/09/18,,2025/12/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0058,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.127,2025/09/18,,2025/12/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0059,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.126,2025/09/18,,2025/12/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0060,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.128,2025/09/18,,2025/12/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0061,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.130,2025/09/18,,2025/12/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0062,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.129,2025/09/18,,2025/12/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0063,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.189,2025/10/23,,2026/01/21,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0064,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.142,2025/10/23,,2026/01/21,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0065,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.70,2025/10/23,,2026/01/21,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0066,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.203,2025/10/23,,2026/01/21,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0067,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.228,2025/10/23,,2026/01/21,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0068,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.221,2025/10/23,,2026/01/21,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0069,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.80,2025/10/23,,2026/01/21,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0070,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.101,2025/10/23,,2026/01/21,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0071,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.85,2025/10/23,,2026/01/21,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0072,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.202,2025/10/23,,2026/01/21,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0073,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.164,2026/04/30,,2026/07/29,2026/04/30,2026/04/30,1,,￥5.53,0,￥0.00
DB0074,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.165,2026/04/30,,2026/07/29,2026/04/30,2026/04/30,1,,￥5.53,0,￥0.00
DB0075,36,网络安全服务,云堡垒机（20资产）,1,套/日,25.62,192.168.187.32,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥768.60,2,￥51.24
DB0076,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.11,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0077,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.10,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0078,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.8,2026/01/29,2026/04/22,2026/04/29,2026/04/01,2026/04/21,21,,￥40.95,0,￥0.00
DB0079,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.9,2026/01/29,2026/04/22,2026/04/29,2026/04/01,2026/04/21,21,,￥40.95,0,￥0.00
DB0080,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.7,2026/01/29,2026/04/22,2026/04/29,2026/04/01,2026/04/21,21,,￥40.95,0,￥0.00
DB0081,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.6,2026/01/29,2026/04/22,2026/04/29,2026/04/01,2026/04/21,21,,￥40.95,0,￥0.00
DB0082,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.4,2026/01/29,2026/04/22,2026/04/29,2026/04/01,2026/04/21,21,,￥40.95,0,￥0.00
DB0083,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.5,2026/01/29,2026/04/22,2026/04/29,2026/04/01,2026/04/21,21,,￥40.95,0,￥0.00
DB0084,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.3,2026/01/29,2026/04/22,2026/04/29,2026/04/01,2026/04/21,21,,￥40.95,0,￥0.00
DB0085,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.2,2026/01/29,2026/04/22,2026/04/29,2026/04/01,2026/04/21,21,,￥40.95,0,￥0.00
DB0086,13,数据库服务,OceanBase,7,套/日,85.67,,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,"￥17,990.70",30,"￥17,990.70"
DB0087,50,安全服务,VPN-10用户,1,套/日,22.77,,2025/09/15,2026/04/14,2025/12/14,2026/04/01,2026/04/13,13,,￥296.01,13,￥296.01
DB0088,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.3,2025/09/15,2026/04/22,2025/12/14,2026/04/01,2026/04/21,21,,￥116.13,21,￥116.13
DB0089,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.2,2025/09/15,2026/04/22,2025/12/14,2026/04/01,2026/04/21,21,,￥116.13,21,￥116.13
DB0090,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.4,2025/09/15,2026/04/22,2025/12/14,2026/04/01,2026/04/21,21,,￥116.13,21,￥116.13
DB0091,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.5,2025/09/15,2026/04/22,2025/12/14,2026/04/01,2026/04/21,21,,￥116.13,21,￥116.13
DB0092,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.7,2025/09/15,2026/04/22,2025/12/14,2026/04/01,2026/04/21,21,,￥116.13,21,￥116.13
DB0093,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.6,2025/09/15,2026/04/22,2025/12/14,2026/04/01,2026/04/21,21,,￥116.13,21,￥116.13
DB0094,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.8,2025/09/15,2026/04/22,2025/12/14,2026/04/01,2026/04/21,21,,￥116.13,21,￥116.13
DB0095,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.9,2025/09/15,2026/04/22,2025/12/14,2026/04/01,2026/04/21,21,,￥116.13,21,￥116.13
DB0096,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.11,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0097,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.10,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0098,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.13,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0099,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.12,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0100,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.15,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0101,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.14,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0102,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.17,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0103,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.16,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0104,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.19,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0105,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.18,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0106,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.21,2025/09/15,2026/04/22,2025/12/14,2026/04/01,2026/04/21,21,,￥116.13,21,￥116.13
DB0107,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.20,2025/09/15,2026/04/22,2025/12/14,2026/04/01,2026/04/21,21,,￥116.13,21,￥116.13
DB0108,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.22,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0109,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.23,2025/09/15,2026/04/22,2025/12/14,2026/04/01,2026/04/21,21,,￥116.13,21,￥116.13
DB0110,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.24,2025/09/16,2026/04/22,2025/12/15,2026/04/01,2026/04/21,21,,￥116.13,21,￥116.13
DB0111,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.25,2025/09/20,,2025/12/19,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0112,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.26,2025/09/20,,2025/12/19,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0113,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.27,2025/09/20,,2025/12/19,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0114,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.28,2025/09/20,,2025/12/19,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0115,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.30,2025/09/20,,2025/12/19,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0116,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.29,2025/09/20,,2025/12/19,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0117,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.32,2025/09/22,,2025/12/21,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0118,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.46,2026/03/12,,2026/06/10,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0119,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.47,2026/03/12,,2026/06/10,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0120,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.48,2026/03/12,,2026/06/10,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0121,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.49,2026/03/12,,2026/06/10,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0122,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.50,2026/03/12,,2026/06/10,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0123,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.51,2026/03/12,,2026/06/10,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0124,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.52,2026/03/12,,2026/06/10,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0125,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.53,2026/03/12,,2026/06/10,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0126,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.5,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0127,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.4,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0128,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.3,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0129,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.2,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0130,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.7,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0131,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.8,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0132,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.14,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0133,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.15,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0134,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.16,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0135,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.17,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0136,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.18,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0137,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.19,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0138,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.20,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0139,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.21,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0140,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.22,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0141,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.23,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0142,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.24,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0143,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.25,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0144,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.26,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0145,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.27,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0146,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.28,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0147,12,数据库服务,腾迅数据库TDSQL-C,7,套/日,480.2,,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,"￥100,842.00",30,"￥100,842.00"
