ICC-营销侧-堡垒机单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.13,2025-09-15 00:00:00,,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.12,2025-09-15 00:00:00,,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.15,2025-09-15 00:00:00,,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.14,2025-09-15 00:00:00,,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.17,2025-09-15 00:00:00,,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.16,2025-09-15 00:00:00,,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.19,2025-09-15 00:00:00,,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.18,2025-09-15 00:00:00,,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.21,2025-09-15 00:00:00,2026-04-22 00:00:00,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-22 00:00:00,21,116.13,21,116.13,本期已关闭，下期不再有此项费用
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.20,2025-09-15 00:00:00,2026-04-22 00:00:00,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-22 00:00:00,21,116.13,21,116.13,本期已关闭，下期不再有此项费用
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.22,2025-09-15 00:00:00,,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.23,2025-09-15 00:00:00,2026-04-22 00:00:00,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-22 00:00:00,21,116.13,21,116.13,本期已关闭，下期不再有此项费用
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.24,2025-09-16 00:00:00,2026-04-22 00:00:00,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-22 00:00:00,21,116.13,21,116.13,本期已关闭，下期不再有此项费用
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.25,2025-09-20 00:00:00,,2025-12-19 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.26,2025-09-20 00:00:00,,2025-12-19 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.27,2025-09-20 00:00:00,,2025-12-19 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.28,2025-09-20 00:00:00,,2025-12-19 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.30,2025-09-20 00:00:00,,2025-12-19 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.29,2025-09-20 00:00:00,,2025-12-19 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.32,2025-09-22 00:00:00,,2025-12-21 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.46,2026-03-12 00:00:00,,2026-06-10 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.47,2026-03-12 00:00:00,,2026-06-10 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.48,2026-03-12 00:00:00,,2026-06-10 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.49,2026-03-12 00:00:00,,2026-06-10 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.50,2026-03-12 00:00:00,,2026-06-10 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.51,2026-03-12 00:00:00,,2026-06-10 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.52,2026-03-12 00:00:00,,2026-06-10 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.53,2026-03-12 00:00:00,,2026-06-10 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
合计数量,,,38,合计金额,,,,,,,,,5706.96,,4379.76,
,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,合计费用,,,,,,,,,,,
50,安全服务,VPN-10用户,1,套/日,296.01,,,,,,,,,,,
26,操作系统服务,银河麒麟高级服务器操作系统,38,套/日,4379.76,,,,,,,,,,,
35,网络安全服务,云堡垒机（1资产）,10,套/日,7.8,,,,,,,,,,,
13,数据库服务,OceanBase,7,套/日,17990.7,,,,,,,,,,,
36,网络安全服务,云堡垒机（20资产）,1,套/日,51.24,,,,,,,,,,,
总计金额,,,,,22725.51,,,,,,,,,,,
