唯一编号,数据块,服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日应计费天数,合计费用
CL00044,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.27,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00045,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.26,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00046,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.28,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00047,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.35,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00048,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.36,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00049,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.37,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00050,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.40,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00051,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.39,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00052,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.41,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00053,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.42,2025-09-17 00:00:00,,2025-12-16 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00054,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.49,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00055,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.50,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00056,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.51,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00057,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.52,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00058,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.53,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00059,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.70,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00060,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.71,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00061,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.72,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00062,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.73,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00063,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.74,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00064,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.75,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00065,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.76,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00066,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.77,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00067,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.78,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00068,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.79,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00069,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.80,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00070,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.81,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00071,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.82,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00072,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.87,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00073,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.88,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00074,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.89,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00075,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.90,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00076,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.91,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00077,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.92,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00078,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.93,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00079,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.94,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00080,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.216,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00081,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.218,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00082,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.219,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00083,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.220,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00084,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.221,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00085,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.222,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00086,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.223,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00087,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.224,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00088,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.225,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00089,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.226,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00090,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.227,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00091,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.228,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00092,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.229,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00093,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.230,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00094,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.231,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00095,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.232,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00096,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.233,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00097,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.234,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00098,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.235,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00099,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.236,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00100,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.237,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00101,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.238,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00102,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.239,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00103,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.240,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00104,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.241,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00105,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.242,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00106,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.243,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
