华为车路云-VPN服务单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.221,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.230,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.251,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.19,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
合计数量,,,15,合计金额,,,,,,,,,877.5,,23.4
,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,合计费用,,,,,,,,,,
50,安全服务,VPN-10用户,1,套/日,0,,,,,,,,,,
30,操作系统服务,OpenEuler,15,套/日,0,,,,,,,,,,
35,网络安全服务,云堡垒机（1资产）,15,套/日,23.4,,,,,,,,,,
总计金额,,,,,23.4,,,,,,,,,,
